id,tappa
7,A22
13,E58
48,C16N
50,C15S
110,S18S
125,E18
290,D17S
414,G19
562,E40
564,E39B
641,R04
652,S15
661,G12
697,B06
780,Z20
793,U13
840,L04AP
850,D04
920,Z07
947,D35N
1022,L01AP
1067,D15S
1074,D16S
1086,N13
1121,R18
1124,Q01
1153,S18
1211,S20S
1214,S19S
1243,R02
1258,E69
1273,L11
1284,G28
1294,T04
1304,D13N
1374,Z27
1407,P17N
1411,Z28
1506,C09
1630,B04
1707,O07
1812,G29
1817,S21S
1826,G28V
1847,L07
1871,D19S
1896,P05
1899,P06
1901,L02N
1959,V23B
1982,L02AP
2019,A06B
2026,A06A
2268,E02
2275,P09
2280,D30N
2281,D29N
2282,E64
2284,Z22
2329,E62B
2331,Z21A
2575,R15
2593,R16
2732,L17
2744,P04
2750,B01
2813,E22
2841,A20
2849,G15
2854,E47N
2880,L09
2890,U29
2927,L02S
2939,C13S
2942,D33N
2948,B03
3036,L08
3068,B07
3107,Q12
3134,Z15
3153,G26
3157,Z17
3173,D34N
3186,G34
3203,P03
3204,P02
3205,F17
3211,G01
3240,D20N
3251,A26
3255,Z26
3262,L07AP
3276,Z19
3412,Z21B
3430,D25S
3437,Z05
3558,Z14
3671,A23
3673,L23
3693,G32
3823,S14S
3866,L01
3885,D11N
3894,R07A
3911,C19N
3949,Z10A
3954,E61
4125,S21
4131,C07
4147,U17
4179,A27
4186,E43
4202,C20N
4207,D14S
4219,D09
4277,E48N
4346,A11
4347,A10
4348,V20
4353,U22
4422,Q10
4433,N12
4451,D01
4483,E09
4486,E08
4507,S17
4545,A13
4564,R08
4569,R06A
4605,E07
4634,E21
4670,L20
4757,D27S
4764,U23
4826,Z08
4830,C06
4835,L21
4836,G24
4879,C17S
4967,E49N
5020,F03
5061,F07
5066,F06
5079,E11
5109,E54
5111,N05
5117,D31N
5125,D37N
5164,F10
5188,O12
5216,L15
5264,E37
5292,P15N
5300,G04
5304,B05
5311,U32
5332,E38
5348,E16
5360,D18S
5373,C16S
5485,N14
5486,Q05
5511,C21N
5533,E27
5539,D06
5564,E34
5567,G08
5578,D07
5607,V23
5609,G06
5633,D22S
5642,S03
5654,D05
5854,C10N
5876,V02
5908,L14
5912,F13
5921,A15
5928,C04
5939,D20S
5953,S07
5954,A05
5957,A02
6023,E46
6079,O11
6127,Q11
6134,R07B
6165,D30S
6186,V16
6192,E42
6196,V23F
6203,U08
6206,U12
6210,U14
6215,U15
6225,Z09
6231,T08
6265,S14
6268,B08
8729,D23N
8730,D21N
8734,D25N
8789,R01
8795,D08
8803,E29
8833,L12
8858,S19
8865,F08
8890,Z11
8931,V23G
8933,V24
8952,Z23
8961,E32
8962,E43B
8964,E45B
8965,E44B
8979,P14
9055,S12
9060,A03
9106,Q09
9153,D02
9162,A18
9385,P10
9501,N15
9547,U02
9551,R05
9603,D38N
9604,T01
9627,C10S
9677,V21
9701,O10
9717,E28
9723,G20
9743,G31
9767,N08
9805,U16
9861,R13
9940,T07
10045,N11
10061,L03AP
10103,V11
10152,S04
10219,S06
10258,V10
10282,P07
10321,Z12
10322,Z16
10326,Z10B
10446,S02
10514,G05
10530,S13S
10697,R12
10756,S15S
10757,V25
10789,C14N
10796,D18N
10849,V01
11060,A07
11061,A19
11062,A01
11063,A14
11064,A28
11065,A04
11066,A08
11067,A16
11068,A25
11069,A24
11071,A09
11072,A17
11077,A21
11083,B09
11086,N02
11099,O14
11120,Z03
11124,Z02
11230,C14S
11239,P14N
11242,C11S
11245,P16N
11256,S05
11258,C05
11267,L05
11304,V14
11328,D16N
11400,C02
11423,E52N
11427,E53N
11431,E67
11432,E57
11433,E12
11434,E56
11436,E17
11437,E30
11438,E26
11445,P01
11447,G10
11448,G33
11449,U04
11451,G02
11452,G14
11453,G25
11454,G17
11455,G27
11468,F19
11474,C15N
11475,C03
11480,R17
11481,R09
11483,R10
11486,G16
11494,C12S
11497,C08
11568,B02
11569,D26N
11580,L06AP
11583,L18
11584,L13
11585,L04S
11586,Q06
11588,Q02
11602,D28N
11666,O13
11672,S11
11702,S09
11708,O20
11709,O03
11785,R03
11798,U01
11817,P13
11824,G21
11829,P08
11930,G22
11955,U21
11956,D10N
11959,U24
11964,U25
12027,V18
12104,S16
12105,S01
12137,C11N
12140,C18N
12141,C13N
12142,C17N
12143,C22N
12145,C12N
12151,S20
12154,V16V
12155,S10
12178,N16
12187,D14N
12209,E59
12240,R06B
12241,L06
12244,D19N
12245,D17N
12247,D15N
12248,D12N
12275,U11
12279,N04
12280,U09
12423,N03
12428,N06
12521,E39A
12611,V19
12668,Q08
13015,D11SB
13092,E10
13189,G03
13191,G07
13193,G23
13194,G13
13195,G11
13196,G09
13199,G18
14043,U06
14061,C01
14080,D22N
14184,E62A
14201,G30
14232,V22
14240,A12
14468,E01
14503,U19
14531,L03S
14544,U27
14679,D32N
14711,E55
14751,E04
14805,E05
14806,E03
14831,E68
14848,V23E
14884,D29S
15073,L16
15233,E53
15302,E35
15311,E47
15382,O09
15432,E24
15443,D28S
15473,V09
15496,V12
15501,V08
15503,L03N
15554,V28
15555,V29
15598,V03
15647,E49
15799,E23
15908,T05
15934,T06
16015,D24S
16041,E51N
16095,Z04
16269,E41
16442,D11SA
17231,D26S
17266,R11B
17267,R11A
17333,Q04
17334,S13
17335,R14
17336,T02
17338,Q03
17340,T03
17352,L04N
17381,E19
17514,E15
17522,S08
17527,D24N
17529,L10
17531,D12S
17532,D13S
17535,D10S
17566,N01
17567,O15
17568,F20
17806,E25
17945,D36N
17951,D27N
18218,Z18
18437,V23A
18544,N10
18551,Z13
18561,O01
18575,V17
18576,V15
18586,U18
18587,E65
18588,S17S
18589,O05
18590,O06
18591,O08
18592,O19
18593,D03
18594,E66
18595,U20
18596,U07
18597,S16S
18598,N09
18599,E06
18600,N07
18601,O16
18602,N17
18603,U10
18604,Q07
18605,E52
18606,V23D
18607,N18
18608,O02
18609,E60
18610,E31
18611,O18
18612,O17
18613,V23C
18614,E51
18615,U26
18618,O04
18645,Z24
18646,F15
18647,U30
18648,Z01
18649,V06
18650,F05
18651,F04
18652,L24
18653,E36
18654,E20
18655,D23S
18656,U28
18657,L22
18658,U03
18659,E48
18660,E34V
18661,E14
18662,E33
18663,E50N
18664,F01
18665,Z25
18666,E45
18667,V05
18668,F14
18669,Z06
18670,F09
18671,U31
18672,U05
18673,E50
18674,E13
18675,E34Z
18676,V04
18677,F12
18678,F02
18679,V13
18680,V26
18681,F16
18682,E44
18683,P12
18684,V07
18685,V27
18686,F11
18687,P11
18689,D21S
18690,F18
22304,L05AP
22926,L19